,Condition,Drug,Indication,Type,Effective,EaseOfUse,Satisfaction
54,Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,4.0,4.0,4.0
55,Acute Bacterial Sinusitis,Ampicillin Sodium,Off Label,RX,1.0,1.0,1.0
56,Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5.0,5.0,5.0
60,Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,4.0,4.0,5.0
61,Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,5.0,4.0,5.0
62,Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,1.0,1.0,1.0
63,Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,3.0,3.0,3.0
65,adenocarcinoma of pancreas,Capecitabine,Off Label,RX,3.75,3.78,3.62
66,adenocarcinoma of pancreas,Cisplatin,Off Label,RX,4.27,3.45,3.45
67,adenocarcinoma of pancreas,Oxaliplatin,Off Label,RX,4.0,2.8,2.8
68,adenocarcinoma of pancreas,Paclitaxel-Protein Bound,On Label,RX,4.18,4.0,3.77
69,adenocarcinoma of pancreas,Gemcitabine,On Label,RX,3.44,3.11,2.67
70,adenocarcinoma of pancreas,Gemcitabine,On Label,RX,3.25,4.0,3.0
71,adenocarcinoma of pancreas,Capecitabine,Off Label,RX,3.75,4.5,3.75
72,adenocarcinoma of pancreas,Fluorouracil,On Label,RX,3.0,1.0,3.0
73,adenocarcinoma of pancreas,Mitomycin,On Label,RX,2.5,2.0,2.0
74,adenocarcinoma of pancreas,Doxorubicin,Off Label,RX,2.0,2.0,3.0
76,adenocarcinoma of pancreas,Oxaliplatin,Off Label,RX,5.0,5.0,3.0
77,adenocarcinoma of pancreas,Doxorubicin,Off Label,RX,1.0,3.0,1.0
78,adenocarcinoma of pancreas,Cisplatin,Off Label,RX,3.0,3.0,3.0
79,adenocarcinoma of pancreas,Paclitaxel-Protein Bound,On Label,RX,3.0,2.0,3.0
80,Atopic Dermatitis,Prednisone,On Label,RX,3.54,3.64,2.74
83,Atopic Dermatitis,Methylprednisolone,On Label,RX,3.3,3.92,2.82
84,Atopic Dermatitis,Cetirizine,Off Label,OTC,3.59,4.18,2.81
85,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,3.03,3.17,2.68
86,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,4.0,4.44,3.85
87,Atopic Dermatitis,Clobetasol,On Label,RX,3.94,4.34,3.82
91,Atopic Dermatitis,Methylprednisolone,On Label,RX,3.39,3.97,3.11
92,Atopic Dermatitis,Methylprednisolone,On Label,RX,3.35,3.31,2.92
93,Atopic Dermatitis,Dexamethasone,On Label,RX,3.38,3.27,2.47
95,Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,3.52,3.0,3.14
96,Atopic Dermatitis,Cetirizine,Off Label,RX/OTC,3.27,4.14,3.05
97,Atopic Dermatitis,Pimecrolimus,On Label,RX,3.26,4.14,3.17
98,Atopic Dermatitis,Fluocinonide,On Label,RX,4.7,4.7,4.7
99,Atopic Dermatitis,Dexamethasone,On Label,RX,3.67,3.2,1.93
100,Atopic Dermatitis,Desonide,On Label,RX,2.9,4.1,2.9
103,Atopic Dermatitis,Betamethasone Dipropionate,On Label,RX,3.91,4.55,4.0
105,Atopic Dermatitis,Dexamethasone,On Label,RX,3.38,3.12,2.27
106,Atopic Dermatitis,Tacrolimus,On Label,RX,3.62,4.1,3.62
107,Atopic Dermatitis,Clobetasol,On Label,RX,3.89,4.04,3.43
109,Atopic Dermatitis,Mometasone,On Label,RX,4.88,4.88,4.88
110,Atopic Dermatitis,Hydrocortisone,On Label,RX,4.36,4.23,3.59
111,Atopic Dermatitis,Methylprednisolone,On Label,RX,3.5,3.9,3.3
112,Atopic Dermatitis,Desoximetasone,On Label,RX,3.44,4.67,3.11
114,Atopic Dermatitis,Hydrocortisone,On Label,RX/OTC,4.2,4.2,4.0
115,Atopic Dermatitis,Hydrocortisone,On Label,RX,4.31,4.13,3.69
116,Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,3.22,3.33,3.11
117,Atopic Dermatitis,Hydrocortisone Butyr-Emollient,On Label,RX,4.57,4.86,4.43
118,Atopic Dermatitis,Halobetasol Propionate,On Label,RX,4.31,4.38,4.15
120,Atopic Dermatitis,Mometasone,On Label,RX,4.67,4.5,4.67
121,Atopic Dermatitis,Prednisone,On Label,RX,1.0,2.8,1.0
122,Atopic Dermatitis,Fluocinolone,On Label,RX,4.45,4.55,4.36
123,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,3.75,3.5,3.75
124,Atopic Dermatitis,Methylprednisolone,On Label,RX,3.67,4.33,3.17
125,Atopic Dermatitis,Dexamethasone,On Label,RX,2.4,2.8,1.8
126,Atopic Dermatitis,Vit E-Grape-Hyaluronate Sodium,On Label,RX,3.69,4.54,3.77
127,Atopic Dermatitis,Fluocinonide,On Label,RX,3.8,4.2,3.6
128,Atopic Dermatitis,Cortisone,On Label,RX,4.6,4.2,3.2
129,Atopic Dermatitis,Betamethasone Valerate,On Label,RX,3.8,4.6,3.8
131,Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,3.33,3.67,3.33
132,Atopic Dermatitis,Prednisone,On Label,RX,4.33,3.33,2.33
133,Atopic Dermatitis,Clobetasol,On Label,RX,4.75,4.38,4.13
134,Atopic Dermatitis,"Betamethasone Acet,Sod Phos",On Label,RX,3.0,3.67,3.0
135,Atopic Dermatitis,Fluocinolone And Shower Cap,On Label,RX,4.0,3.7,3.6
136,Atopic Dermatitis,Desoximetasone,On Label,RX,3.67,4.67,3.67
138,Atopic Dermatitis,Halobetasol Propionate,On Label,RX,5.0,4.67,5.0
139,Atopic Dermatitis,Dexamethasone Sodium Phosphate,On Label,RX,3.67,3.0,3.67
140,Atopic Dermatitis,Prednisolone Sodium Phosphate,On Label,RX,3.88,4.75,3.5
141,Atopic Dermatitis,Hydrocortisone-Iodoquinl-Aloe2,On Label,RX,3.0,3.0,3.0
142,Atopic Dermatitis,Fluocinonide,On Label,RX,4.25,4.0,4.0
143,Atopic Dermatitis,"Betamethasone Acet,Sod Phos",On Label,RX,5.0,5.0,5.0
144,Atopic Dermatitis,Fluocinolone,On Label,RX,4.14,4.29,4.0
145,Atopic Dermatitis,Prednisolone,On Label,RX,3.33,3.0,3.0
146,Atopic Dermatitis,Fluocinolone,On Label,RX,3.75,4.25,3.75
149,Atopic Dermatitis,Cetirizine,Off Label,OTC,4.0,4.5,3.75
150,Atopic Dermatitis,"Betamethasone, Augmented, Betamethasone Dipropionate",On Label,RX,3.75,4.25,3.5
152,Atopic Dermatitis,Prednicarbate,On Label,RX,5.0,5.0,5.0
154,Atopic Dermatitis,Hydrocortisone Valerate,On Label,RX,3.0,3.0,3.0
155,Atopic Dermatitis,Cetirizine,Off Label,OTC,3.0,4.33,1.67
156,Atopic Dermatitis,Fluticasone Propionate,On Label,RX,5.0,5.0,5.0
157,Atopic Dermatitis,Flurandrenolide,On Label,RX,3.0,5.0,2.33
159,Atopic Dermatitis,"Hydrocortisone-Pramoxine, Hydrocortisone",On Label,RX,3.75,4.75,3.75
162,Atopic Dermatitis,Fluocinolone,On Label,RX,3.0,3.5,3.0
163,Atopic Dermatitis,"Betamethasone, Augmented",On Label,RX,3.67,4.67,3.67
164,Atopic Dermatitis,Diflorasone,On Label,RX,5.0,5.0,5.0
165,Atopic Dermatitis,Prednisolone Sodium Phosphate,On Label,RX,4.33,5.0,4.33
166,Atopic Dermatitis,Clobetasol,On Label,RX,3.25,5.0,3.25
167,Atopic Dermatitis,Desonide,On Label,RX,4.67,4.67,4.67
168,Atopic Dermatitis,Hydrocortisone Butyrate,On Label,RX,2.0,2.67,2.0
169,Atopic Dermatitis,Fluticasone Propionate,On Label,RX,5.0,5.0,5.0
170,Atopic Dermatitis,Prednisone,On Label,RX,1.0,3.0,1.0
171,Atopic Dermatitis,Dexamethasone,On Label,RX,5.0,5.0,5.0
172,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,5.0,5.0,5.0
173,Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,3.0,3.67,2.67
175,Atopic Dermatitis,Hydrocortisone,On Label,OTC,1.8,3.2,3.0
176,Atopic Dermatitis,Fluocinonide-Emollient,On Label,RX,3.0,3.5,3.0
177,Atopic Dermatitis,Betamethasone Valerate,On Label,RX,3.5,4.5,3.5
178,Atopic Dermatitis,Hydrocortisone,On Label,OTC,1.0,5.0,1.0
179,Atopic Dermatitis,Doxepin,On Label,RX,3.67,3.67,3.33
180,Atopic Dermatitis,Flurandrenolide,On Label,RX,3.0,3.0,3.0
181,Atopic Dermatitis,Betamethasone Dipropionate,On Label,RX,5.0,5.0,5.0
182,Atopic Dermatitis,Diflorasone-Emollient,On Label,RX,4.0,4.5,4.5
183,Atopic Dermatitis,Desoximetasone,On Label,RX,3.0,3.0,3.0
184,Atopic Dermatitis,Doxepin,On Label,RX,5.0,4.5,4.5
185,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,4.0,3.5,4.0
186,Atopic Dermatitis,Cetirizine,Off Label,OTC,4.0,5.0,5.0
187,Atopic Dermatitis,"Hydrocortisone, Pramoxine-Benzyl Alcohol",On Label,OTC,5.0,5.0,5.0
188,Atopic Dermatitis,"Desonide-Emollient Combo No 28, Desonide",On Label,RX,1.5,3.0,1.0
190,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,4.0,4.0,2.0
191,Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,5.0,5.0,5.0
192,Atopic Dermatitis,Fluocinolone,On Label,RX,4.0,3.5,3.5
193,Atopic Dermatitis,Dexamethasone,On Label,RX,5.0,5.0,5.0
194,Atopic Dermatitis,Dexamethasone,On Label,RX,3.0,3.0,3.0
195,Atopic Dermatitis,Alclometasone,On Label,RX,4.5,5.0,4.5
196,Atopic Dermatitis,Alclometasone,On Label,RX,1.0,5.0,1.0
197,Atopic Dermatitis,Prednisolone Sodium Phosphate,On Label,RX,4.0,3.67,3.67
198,Atopic Dermatitis,Dexamethasone Sodium Phosphate,On Label,RX,3.5,4.5,3.0
199,Atopic Dermatitis,Flurandrenolide,On Label,RX,3.0,5.0,4.0
200,Atopic Dermatitis,Amcinonide,On Label,RX,5.0,5.0,5.0
201,Atopic Dermatitis,Hydrocortisone Butyrate,On Label,RX,5.0,5.0,5.0
202,Atopic Dermatitis,Fluocinonide,On Label,RX,5.0,5.0,5.0
203,Atopic Dermatitis,"Vit E-Glycerin-Dimethicone, Glycerin-Dimethicone-Petro, Wh",On Label,RX,2.0,3.0,2.5
204,Atopic Dermatitis,Tacrolimus,On Label,RX,5.0,4.0,5.0
205,Atopic Dermatitis,Betamethasone Valerate,On Label,RX,5.0,5.0,5.0
206,Atopic Dermatitis,Hydrocortisone,On Label,OTC,5.0,5.0,5.0
207,Atopic Dermatitis,"Prednisolone, Prednisolone Sodium Phosphate",On Label,RX,1.0,3.0,2.0
209,Atopic Dermatitis,Hydrocortisone Valerate,On Label,RX,1.0,1.0,1.0
210,Atopic Dermatitis,Desonide,On Label,RX,5.0,5.0,5.0
211,Atopic Dermatitis,Hydrocortisone Sod Succinate,On Label,RX,5.0,5.0,5.0
212,Atopic Dermatitis,Diflorasone,On Label,RX,5.0,5.0,5.0
213,Atopic Dermatitis,Amcinonide,On Label,RX,5.0,5.0,5.0
214,Atopic Dermatitis,Diflorasone-Emollient,On Label,RX,5.0,5.0,5.0
215,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,4.0,1.0,4.0
216,Atopic Dermatitis,Hydrocortisone,On Label,OTC,1.0,5.0,1.0
217,Atopic Dermatitis,Hydrocortisone Probutate,On Label,RX,1.0,1.0,1.0
218,Atopic Dermatitis,Hydrocortisone,On Label,OTC,5.0,5.0,5.0
219,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,3.5,3.5,3.5
220,Atopic Dermatitis,Triamcinolone-Emollient Comb86,On Label,RX,1.0,1.0,1.0
221,Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,5.0,5.0,5.0
222,Atopic Dermatitis,Fluocinonide-Emollient,On Label,RX,4.0,4.0,5.0
223,Atopic Dermatitis,Dexamethasone Sodium Phos (PF),On Label,RX,5.0,4.0,5.0
226,Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,1.0,1.0,1.0
227,Atopic Dermatitis,Cetirizine,Off Label,OTC,5.0,5.0,5.0
228,Atopic Dermatitis,Flurandrenolide,On Label,RX,5.0,5.0,5.0
229,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,5.0,5.0,5.0
230,Atopic Dermatitis,Dexamethasone,On Label,RX,4.0,5.0,5.0
232,Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,3.0,2.0,1.0
235,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,1.0,1.0,1.0
236,Atopic Dermatitis,Hydrocortisone,On Label,OTC,5.0,5.0,5.0
237,Atopic Dermatitis,Methylprednisolone,On Label,RX,2.0,4.0,3.0
238,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,1.0,1.0,1.0
239,Atopic Dermatitis,Hydrocortisone-Iodoquinol,On Label,RX,4.0,4.0,4.0
240,Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,5.0,5.0,5.0
241,Atopic Dermatitis,Hydrocortisone Sod Succinate,On Label,RX,3.0,3.0,4.0
242,Atopic Dermatitis,Hydrocortisone,On Label,OTC,1.0,5.0,1.0
243,Atopic Dermatitis,Dexamethasone,On Label,RX,1.0,1.0,1.0
244,Atopic Dermatitis,Dexamethasone,On Label,RX,4.0,5.0,4.0
245,Atopic Dermatitis,"Salicylic Acid, Hydrocortisone",On Label,OTC,1.0,1.0,1.0
247,Atopic Dermatitis,Fluocinolone And Shower Cap,On Label,RX,5.0,3.0,5.0
248,Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,4.0,2.0,4.0
249,Atopic Dermatitis,Hydrocortisone Sod Succ (PF),On Label,RX,4.0,5.0,4.0
250,Atopic Dermatitis,"Betamethasone, Augmented",On Label,RX,4.0,3.0,3.0
252,Atopic Dermatitis,Hydrocortisone,On Label,OTC,2.0,2.0,2.0
253,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,4.0,4.0,3.0
254,Atopic Dermatitis,Hydrocortisone,On Label,OTC,4.0,4.0,4.0
256,Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,3.0,3.0,1.0
257,Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,2.0,1.0,1.0
258,Atopic Dermatitis,Hydrocortisone Acetate,On Label,RX/OTC,2.0,4.0,2.0
260,Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,4.0,5.0,4.0
261,Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,4.0,2.0,2.0
262,Atopic Dermatitis,Desonide,On Label,RX,5.0,5.0,5.0
263,Atopic Dermatitis,Betamethasone Valerate,On Label,RX,5.0,5.0,5.0
264,Atopic Dermatitis,Dexamethasone Sodium Phosphate,On Label,RX,5.0,5.0,4.0
265,Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,5.0,5.0,5.0
266,Atopic Dermatitis,Prednisone,On Label,RX,5.0,5.0,5.0
267,Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,1.0,1.0,1.0
268,Atopic Dermatitis,Hydrocortisone,On Label,OTC,3.0,4.0,2.0
269,Atopic Dermatitis,Flurandrenolide,On Label,RX,5.0,5.0,5.0
270,Atopic Dermatitis,Hydrocortisone,On Label,RX,4.0,4.0,3.0
271,Atopic Dermatitis,Hydrocortisone,On Label,RX/OTC,1.0,1.0,1.0
272,Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,5.0,5.0,4.0
273,Atopic Dermatitis,Prednisone,On Label,RX,4.0,5.0,4.0
274,Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,5.0,5.0,5.0
275,Atopic Dermatitis,Fluocinolone-Emol Cmb#65,On Label,RX,1.0,4.0,1.0
276,Atopic Dermatitis,Fluocinolone-Emol Cmb#65,On Label,RX,1.0,3.0,1.0
277,Atopic Dermatitis,Desonide-Emollient Combo No 28,On Label,RX,4.0,4.0,4.0
278,Atopic Dermatitis,Flurandrenolide,On Label,RX,3.0,2.0,3.0
282,Atopic Dermatitis,Fluocinolone-Skin Clnsr28,On Label,RX,5.0,5.0,5.0
284,Atopic Dermatitis,Fluocinonide,On Label,RX,5.0,5.0,5.0
285,Atopic Dermatitis,Vit E-Glycerin-Dimethicone,On Label,RX,4.0,5.0,5.0
286,Atopic Dermatitis,Diflorasone,On Label,RX,4.0,5.0,5.0
287,Atopic Dermatitis,Prednisolone,On Label,RX,3.0,2.0,2.0
288,Atopic Dermatitis,Hydrocortisone-Oatmeal-Aloe-E,On Label,OTC,1.0,3.0,1.0
289,back pain,Acetaminophen,On Label,OTC,3.07,3.85,3.15
290,back pain,Capsaicin,On Label,OTC,2.53,2.63,2.5
291,back pain,Capsaicin,On Label,OTC,2.74,3.71,2.66
292,back pain,Acetaminophen,On Label,OTC,3.31,4.06,3.13
296,back pain,"Capsaicin-Menthol, Capsaicin",On Label,OTC,2.47,3.47,2.16
297,back pain,Capsaicin,On Label,OTC,3.13,3.38,3.13
298,back pain,Trolamine Salicylate,On Label,OTC,2.89,4.0,2.89
299,back pain,Trolamine Salicylate,On Label,OTC,4.0,4.8,4.0
300,back pain,Capsaicin-Methyl Sal-Menthol,On Label,OTC,4.92,4.92,4.83
301,back pain,Acetaminophen,On Label,OTC,3.73,4.36,3.55
302,back pain,Acetaminophen,On Label,OTC,4.5,4.0,4.25
303,back pain,Acetaminophen,On Label,OTC,3.0,4.25,2.5
304,back pain,Acetaminophen,On Label,OTC,2.2,4.0,2.8
305,back pain,Acetaminophen,On Label,OTC,3.5,4.0,3.75
306,back pain,Capsaicin,On Label,OTC,2.33,3.0,2.0
307,back pain,Trolamine Salicylate,On Label,OTC,4.0,5.0,3.75
308,back pain,Capsaicin,On Label,OTC,2.0,2.0,2.0
309,back pain,Acetaminophen,On Label,OTC,3.67,4.67,4.33
310,back pain,Acetaminophen,On Label,OTC,4.5,4.5,4.5
311,back pain,Capsaicin,On Label,OTC,4.33,4.33,4.67
312,back pain,"ASA-Acetaminophen-Salicyl-Caff, Mg Salicylat-Acetaminophen-Caf",On Label,OTC,2.6,3.0,2.8
313,back pain,Trolamine Salicylate,On Label,OTC,3.0,3.0,3.0
314,back pain,Acetaminophen,On Label,OTC,5.0,5.0,5.0
315,back pain,Acetaminophen,On Label,OTC,2.0,2.0,1.0
316,back pain,Capsaicin,On Label,OTC,4.75,4.5,4.0
317,back pain,Trolamine Salicylate,On Label,OTC,5.0,5.0,5.0
318,back pain,Acetaminophen,On Label,OTC,1.5,2.5,1.5
319,back pain,Acetaminophen,On Label,OTC,4.5,4.0,4.5
320,back pain,Capsaicin,On Label,OTC,3.0,3.5,3.0
321,back pain,Menthol,On Label,OTC,4.67,4.33,4.67
322,back pain,Trolamine Salicylate,On Label,OTC,5.0,5.0,5.0
323,back pain,Capsaicin,On Label,OTC,2.67,5.0,2.67
324,back pain,Acetaminophen,On Label,OTC,5.0,5.0,3.0
325,back pain,Acetaminophen,On Label,OTC,5.0,5.0,5.0
326,back pain,Menthol,On Label,OTC,5.0,5.0,5.0
327,back pain,"Menthol-Camphor-Antarth Cb#1, Methyl Salicylate-Menthol, Camphor-Menthol, Camphor-Methyl Salicyl-Menthol",On Label,OTC,5.0,5.0,5.0
328,back pain,Acetaminophen,On Label,OTC,4.0,5.0,4.0
331,back pain,Trolamine Salicylate,On Label,OTC,3.0,4.0,3.0
332,back pain,Menthol,On Label,OTC,5.0,5.0,5.0
333,back pain,Acetaminophen,On Label,OTC,4.0,4.0,4.0
336,back pain,Capsaicin,On Label,OTC,3.0,5.0,3.0
337,back pain,Trolamine Salicylate,On Label,OTC,4.0,5.0,5.0
339,back pain,Acetaminophen,On Label,OTC,1.0,1.0,1.0
340,back pain,"Cpm-PPA-DM-Acetaminophen, Acetaminophen",On Label,OTC,5.0,5.0,2.0
341,back pain,Acetaminophen,On Label,OTC,3.0,4.0,1.0
342,back pain,Capsaicin,On Label,OTC,5.0,5.0,5.0
343,back pain,Acetaminophen,On Label,OTC,1.0,1.0,2.0
345,back pain,Capsaicin-Methyl Sal-Menthol,On Label,OTC,5.0,5.0,5.0
346,back pain,Trolamine Salicylate,On Label,OTC,5.0,5.0,5.0
347,back pain,Capsaicin,On Label,OTC,2.5,4.5,2.5
348,back pain,Acetaminophen,On Label,OTC,5.0,1.0,1.0
349,back pain,"Trolamine Salicylate, Ala-Bos-Gin-Bas-Rose-Tur-Wil",On Label,OTC,5.0,3.0,3.0
351,back pain,Capsaicin-Camphor-Menthol,On Label,OTC,1.0,1.0,1.0
352,back pain,Acetaminophen,On Label,OTC,3.0,4.0,2.0
353,back pain,Acetaminophen,On Label,OTC,1.5,3.0,1.5
354,back pain,Menthol,On Label,OTC,3.0,4.5,3.0
355,back pain,Acetaminophen,On Label,OTC,2.0,4.0,3.0
356,back pain,Acetaminophen,On Label,OTC,5.0,5.0,5.0
358,back pain,Menthol,On Label,OTC,1.0,5.0,1.0
359,back pain,Capsaicin,On Label,OTC,3.0,4.0,4.0
360,back pain,Aspirin-Acetaminophen-Caffeine,On Label,OTC,5.0,5.0,4.0
362,back pain,Acetaminophen,On Label,OTC,4.0,2.0,4.0
363,back pain,Acetaminophen,On Label,OTC,1.0,1.0,1.0
364,back pain,Acetaminophen,On Label,OTC,3.0,3.0,5.0
365,back pain,Menthol,On Label,OTC,5.0,5.0,5.0
366,back pain,Menthol,On Label,OTC,1.0,1.0,1.0
367,back pain,Acetaminophen,On Label,OTC,5.0,5.0,5.0
368,back pain,Capsaicin,On Label,OTC,5.0,5.0,5.0
369,back pain,Capsaicin-Methyl Sal-Menthol,On Label,OTC,5.0,5.0,5.0
371,back pain,Trolamine Salicylate,On Label,OTC,3.0,4.0,1.0
373,back pain,Menthol,On Label,OTC,3.0,3.0,2.0
375,back pain,Trolamine Salicylate-Aloe Vera,On Label,OTC,5.0,5.0,5.0
376,back pain,Acetaminophen,On Label,OTC,3.0,4.0,3.0
377,back pain,"Menthol, Camphor-Methyl Salicyl-Menthol",On Label,OTC,5.0,5.0,5.0
378,back pain,Menthol,On Label,OTC,4.0,5.0,4.0
379,back pain,Menthol,On Label,OTC,3.0,5.0,4.0
380,back pain,"Menthol, Capsaicin",On Label,OTC,4.0,5.0,5.0
382,back pain,Acetaminophen,On Label,OTC,2.0,3.0,4.0
385,back pain,Acetaminophen,On Label,OTC,5.0,4.0,5.0
386,back pain,Acetaminophen,On Label,OTC,4.0,5.0,5.0
387,back pain,Acetaminophen,On Label,OTC,1.0,5.0,1.0
389,back pain,Acetaminophen,On Label,OTC,3.0,3.0,3.0
390,back pain,Menthol,On Label,OTC,4.0,4.0,5.0
391,back pain,Menthol,On Label,OTC,3.0,3.0,3.0
394,back pain,Capsaicin-Camphor-Menthol,On Label,OTC,5.0,4.0,5.0
395,back pain,Acetaminophen,On Label,OTC,4.0,4.0,4.0
396,back pain,Capsaicin In Castor Oil,On Label,OTC,3.0,3.0,4.0
399,back pain,Acetaminophen,On Label,OTC,1.0,3.0,1.0
400,back pain,Capsaicin,On Label,OTC,1.0,1.0,1.0
401,back pain,Menthol,On Label,OTC,1.0,5.0,3.0
403,back pain,Capsaicin,On Label,OTC,3.0,5.0,1.0
405,back pain,Acetaminophen,On Label,OTC,4.0,3.0,5.0
412,Bacterial Conjunctivitis,Moxifloxacin,On Label,RX,3.73,3.78,3.03
413,Bacterial Conjunctivitis,Ciprofloxacin Hcl,On Label,RX,2.83,3.21,2.52
415,Bacterial Conjunctivitis,Gentamicin,On Label,RX,3.0,3.96,2.56
417,Bacterial Conjunctivitis,Moxifloxacin,On Label,RX,3.21,1.97,2.55
418,Bacterial Conjunctivitis,Erythromycin,Off Label,RX,3.15,2.54,2.23
419,Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,2.93,3.29,2.71
421,Bacterial Conjunctivitis,Besifloxacin,On Label,RX,3.43,3.0,2.79
422,Bacterial Conjunctivitis,Gatifloxacin,On Label,RX,3.87,4.07,3.53
423,Bacterial Conjunctivitis,Gentamicin,On Label,RX,2.29,2.57,2.14
425,Bacterial Conjunctivitis,Ofloxacin,On Label,RX,3.2,4.4,2.8
426,Bacterial Conjunctivitis,Gatifloxacin,On Label,RX,4.33,4.33,3.33
427,Bacterial Conjunctivitis,Ciprofloxacin Hcl,On Label,RX,3.25,3.75,2.75
429,Bacterial Conjunctivitis,Bacitracin,Off Label,RX,3.33,4.67,2.0
430,Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,2.0,4.5,4.5
432,Bacterial Conjunctivitis,Bacitracin-Polymyxin B,Off Label,RX,3.67,3.0,3.0
